iter	Passed	Remaining
0	1	300
1	2	254
2	3	253
3	4	236
4	5	232
5	6	219
6	7	210
7	8	202
8	9	198
9	10	200
10	11	196
11	12	191
12	13	188
13	13	183
14	14	180
15	15	175
16	16	174
17	16	171
18	17	167
19	18	164
20	18	161
21	19	159
22	20	157
23	21	155
24	22	154
25	22	152
26	38	246
27	39	241
28	40	236
29	40	231
30	41	226
31	42	223
32	43	218
33	44	215
34	44	210
35	45	206
36	46	204
37	47	200
38	47	197
39	48	195
40	49	192
41	50	188
42	50	186
43	51	183
44	52	181
45	53	178
46	54	176
47	54	173
48	55	171
49	56	169
50	57	167
51	58	165
52	58	163
53	59	161
54	60	159
55	61	157
56	61	155
57	62	153
58	63	152
59	64	150
60	65	148
61	66	147
62	66	145
63	67	144
64	69	143
65	69	141
66	70	140
67	71	138
68	72	137
69	73	135
70	73	134
71	74	132
72	75	130
73	75	129
74	76	127
75	77	127
76	78	125
77	79	124
78	80	122
79	80	121
80	81	119
81	82	118
82	82	116
83	83	115
84	84	114
85	85	112
86	85	111
87	86	110
88	87	108
89	87	107
90	88	106
91	89	105
92	90	104
93	91	103
94	92	101
95	92	100
96	93	99
97	94	98
98	95	97
99	95	95
100	96	94
101	97	93
102	98	92
103	98	91
104	99	90
105	100	89
106	102	88
107	103	87
108	103	86
109	104	85
110	105	84
111	105	83
112	106	81
113	107	80
114	108	80
115	109	79
116	110	78
117	110	77
118	111	76
119	112	74
120	113	73
121	114	72
122	115	72
123	115	71
124	116	70
125	117	68
126	118	68
127	119	67
128	120	66
129	120	65
130	121	64
131	122	63
132	123	61
133	123	60
134	124	59
135	125	58
136	125	57
137	127	57
138	127	56
139	128	55
140	129	54
141	130	53
142	130	52
143	131	51
144	132	50
145	133	49
146	134	48
147	134	47
148	135	46
149	136	45
150	137	44
151	138	43
152	138	42
153	139	41
154	140	40
155	142	40
156	143	39
157	144	38
158	144	37
159	145	36
160	146	35
161	147	34
162	150	34
163	151	33
164	152	32
165	154	31
166	154	30
167	155	29
168	156	28
169	157	27
170	158	26
171	159	25
172	160	25
173	161	24
174	162	23
175	165	22
176	167	21
177	168	20
178	168	19
179	169	18
180	170	17
181	171	16
182	172	15
183	173	15
184	175	14
185	176	13
186	177	12
187	178	11
188	179	10
189	180	9
190	181	8
191	182	7
192	183	6
193	184	5
194	184	4
195	185	3
196	186	2
197	188	1
198	189	0
199	190	0
